Position,Player,Team,Seasons,GP,Goals,Assists,Points,PIM
#1,Aaron Ekblad (D),Florida Panthers,11,732,118,262,380,505
#2,Sam Reinhart (F),Buffalo Sabres,11,774,292,325,617,173
#3,Leon Draisaitl (F),Edmonton Oilers,11,790,399,557,956,340
#4,Sam Bennett (F),Calgary Flames,11,689,162,173,335,668
#5,Michael Dal Colle (F),New York Islanders,5,112,8,13,21,18
#6,Jake Virtanen (F),Vancouver Canucks,6,317,55,45,100,219
#7,Haydn Fleury (D),Carolina Hurricanes,8,307,10,34,44,85
#8,William Nylander (F),Toronto Maple Leafs,10,683,262,350,612,182
#9,Nikolaj Ehlers (F),Winnipeg Jets,10,674,225,295,520,222
#10,Nick Ritchie (F),Anaheim Ducks,8,481,84,102,186,483
#11,Kevin Fiala (F),Nashville Predators,11,648,210,274,484,369
#12,Brendan Perlini (F),Arizona Coyotes,5,262,50,31,81,92
#13,Jakub Vrána (F),Washington Capitals,9,404,118,104,222,109
#14,Julius Honka (D),Dallas Stars,3,87,2,11,13,28
#15,Dylan Larkin (F),Detroit Red Wings,10,731,241,331,572,449
#16,Sonny Milano (F),Columbus Blue Jackets,10,313,62,75,137,74
#17,Travis Sanheim (D),Philadelphia Flyers,8,577,54,159,213,259
#18,Alex Tuch (F),Minnesota Wild,9,534,166,214,380,204
#19,Tony DeAngelo (D),Tampa Bay Lightning,9,404,52,177,229,337
#20,Nick Schmaltz (F),Chicago Blackhawks,9,586,141,280,421,126
#21,Robby Fabbri (F),St. Louis Blues,10,442,106,110,216,203
#22,Kasperi Kapanen (F),Pittsburgh Penguins,10,525,90,131,221,126
#23,Conner Bleackley (F),Colorado Avalanche,,,,,,
#24,Jared McCann (F),Vancouver Canucks,10,667,184,213,397,218
#25,David Pastrnak (F),Boston Bruins,11,755,390,441,831,342
#26,Nikita Scherbak (F),Montréal Canadiens,3,37,6,2,8,10
#27,Nikolai Goldobin (F),San Jose Sharks,5,125,19,27,46,24
#28,Josh Ho-Sang (F),New York Islanders,3,53,7,17,24,20
#29,Adrian Kempe (F),Los Angeles Kings,9,628,192,204,396,371
#30,John Quenneville (F),New Jersey Devils,4,42,2,3,5,6
#31,Brendan Lemieux (F),Buffalo Sabres,7,307,36,38,74,548
